fid,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
"27610",RGI2000-v7.0-G-01-01862,"01",01-02,G206809E60800N,"394925","624",2010-09-12T00:00:00,-153.120548277033,60.853394,"5",104.77744563536,"0","0","3","9",TlikakilaGlacierFork_abl,"1",-153.033991103326,60.8181726893078,365.76572,2326.3108,1342.9915,1297.7405,14.6336355,42.730915,"2",COPDEM90,"25751"
"27611",RGI2000-v7.0-G-01-02760,"01",01-02,G206048E61485N,"393365","624",2010-09-12T00:00:00,-153.937825327558,61.492374,"5",9.24439874993613,"0","0","0","9",Tired Pup Glacier_abl,"1",-153.906489929405,61.4610291532979,901.7271,2155.506,1649.4481,1579.2145,16.193336,150.46782,"4",COPDEM30,"7685"
"27612",RGI2000-v7.0-G-01-26821,"01",01-06,G222900E59293N,"409237","624",2010-09-15T00:00:00,-137.044300599457,59.2845775,"8",64.522506399248,"0","0","3","9",Tikke Glacier_abl,"1",-137.319528381093,59.283706931202,756.60645,2147.3967,1662.8801,1614.6836,9.439146,314.32381439209,"8",COPDEM90,"19268"
"27614",RGI2000-v7.0-G-01-08756,"01",01-04,G211375E60281N,"1011828","809",2006-09-12T00:00:00,-148.411880394444,60.235316,"6",5.80479869420645,"0","0","0","9",Tigertail Glacier_abl,"0",-148.394923815844,60.2584926995696,6.057235,1135.3738,729.0187,658.9482,13.476253,11.712271,"1",COPDEM30,"6104"
"27615",RGI2000-v7.0-G-01-08848,"01",01-04,G211467E60175N,"1011722","809",2006-09-12T00:00:00,-148.564314864354,60.171674,"6",54.4714160847466,"0","0","0","1",Tiger Glacier_abl,"0",-148.450919601039,60.1829420563458,32.112175,1464.0662,899.2715,858.2093,11.139907,55.28625,"2",COPDEM90,"12050"
"27616",RGI2000-v7.0-G-01-23218,"01",01-06,G229760E55984N,"417484","624",2010-08-04T00:00:00,-130.215683755425,55.985729,"9",2.02812305627815,"0","0","0","9",Thumb Glacier_abl,"1",-130.202024982213,55.9852172911616,691.11945,1823.878,1145.6838,1241.8289,20.878529,67.610695,"3",COPDEM30,"3712"
"27617",RGI2000-v7.0-G-01-23183,"01",01-06,G229632E55987N,"417329","624",2010-08-04T00:00:00,-130.337543014499,55.9946815,"9",24.1141171033526,"0","0","0","9",Through Glacier_abl,"1",-130.326799599593,56.0285261014024,511.38657,1968.4957,1345.6179,1353.7656,10.156345,9.410507,"1",COPDEM90,"10003"
"27618",RGI2000-v7.0-G-01-19497,"01",01-06,G225332E58675N,"411902","624",2005-08-11T00:00:00,-134.680885780702,58.704629,"8",26.0935709610718,"0","0","0","9",Thiel Glacier_abl,"1",-134.575107256814,58.7448950367726,103.59844,1789.4641,996.7951,964.56006,14.625389,11.573086,"1",COPDEM90,"14355"
"27619",RGI2000-v7.0-G-01-07050,"01",01-03,G204965E58285N,"392950","624",2010-09-18T00:00:00,-155.010083537785,58.284732,"5",10.1183352565791,"0","0","0","9",The Knife Creek Glaciers_abl,"1",-155.093472392332,58.2986451882397,642.99884,1782.9156,1296.9458,1201.6522,11.398269,292.074371337891,"7",COPDEM30,"7442"
"27620",RGI2000-v7.0-G-01-07141,"01",01-03,G204930E58264N,"392946","624",2008-07-25T00:00:00,-155.089716641672,58.262525,"5",11.8380490203696,"0","0","0","9",The Knife Creek Glacier_abl,"1",-155.084456561518,58.2800826267805,684.73596,1666.4917,1043.5051,1080.0681,14.709488,331.502504348755,"8",COPDEM30,"6271"
"27621",RGI2000-v7.0-G-01-22753,"01",01-06,G229825E56089N,"417539","624",2004-07-27T00:00:00,-130.199226405758,56.095688,"9",10.4651853005319,"0","0","0","9",Texas Glacier_abl,"1",-130.119831685892,56.0820164516512,562.84186,2096.3486,1442.8159,1416.4286,13.456129,95.72097,"3",COPDEM30,"7680"
"27622",RGI2000-v7.0-G-01-08902,"01",01-04,G211468E60679N,"1011750","809",2006-09-12T00:00:00,-148.520360402881,60.6812955,"6",21.4641116152277,"0","0","0","9",Tebenkof Glacier_abl,"0",-148.476982959255,60.7291685809923,14.937724,1333.7831,532.4123,558.93225,9.884489,17.236029,"1",COPDEM90,"12955"
"27623",RGI2000-v7.0-G-01-08875,"01",01-04,G211358E60580N,"1011688","809",2006-09-12T00:00:00,-148.606811879717,60.570427,"6",16.1492914268332,"0","0","0","9",Taylor Glacier_abl,"0",-148.574826228674,60.5593688091943,26.476667,1708.3889,848.6187,856.9317,17.512123,72.915886,"3",COPDEM90,"9105"
"27624",RGI2000-v7.0-G-01-03727,"01",01-02,G207205E62435N,"395570","624",2010-09-12T00:00:00,-152.807168362782,62.44525,"5",10.4033250000428,"0","0","0","9",Tatina Glacier_abl,"1",-152.823467141908,62.4861967620286,930.8794,2311.6487,1537.2299,1544.1027,13.25195,354.131044864655,"1",COPDEM30,"10229"
"27625",RGI2000-v7.0-G-01-11707,"01",01-04,G214501E60996N,"401798","624",2010-09-18T00:00:00,-145.488709145359,61.0079445,"6",26.3881298757865,"0","0","2","9",Tasnuna Glacier_abl,"1",-145.430988153145,61.0573804665754,337.6335,1687.5842,1192.7118,1159.874,11.1771,345.538733482361,"1",COPDEM90,"13862"
"27626",RGI2000-v7.0-G-01-01808,"01",01-02,G207124E60889N,"395483","624",2010-09-12T00:00:00,-152.871487940515,60.928074,"5",158.239655478865,"0","0","3","9",Tanaina Glacier_abl,"1",-152.726556850451,60.8215907746322,165.04279,2256.8137,1545.4797,1484.456,10.74053,140.23915,"4",COPDEM90,"28869"
"27627",RGI2000-v7.0-G-01-12415,"01",01-05,G216660E60749N,"403962","624",2010-09-19T00:00:00,-143.331594696027,60.7990815,"7",102.941542391994,"0","0","0","9",Tana Lobe Bremner Glacier_abl,"1",-143.179914691418,60.9006323464804,547.42914,2781.6333,1559.673,1508.5681,10.725266,350.098258018494,"1",COPDEM90,"32621"
"27628",RGI2000-v7.0-G-01-13099,"01",01-05,G217393E60642N,"405185","624",2010-09-19T00:00:00,-141.782489235505,60.647635,"7",514.802758534517,"0","0","0","9",Tana Glacier_abl,"1",-142.699581694862,60.755777113946,497.16022,2491.9082,1351.2899,1400.9453,4.6967344,291.289489746094,"7",COPDEM90,"84492"
