rgi_id,subregion,area_km2,year,direction,glacier_melt_days,doy_me_start_50,doy_me_end_50,tbias_opt
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2019,Descending,71.92296296296296,179.0,238.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2020,Ascending,89.39825581395348,151.0,241.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2020,Descending,106.56888888888889,141.0,251.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2021,Ascending,76.98546511627907,157.0,218.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2021,Descending,88.61185185185185,170.0,258.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2022,Descending,94.02814814814815,154.0,252.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2023,Descending,99.07703703703703,155.0,250.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2024,Descending,89.1674074074074,147.0,236.0,4.1
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2017,Ascending,79.01683501683502,163.0,235.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2017,Descending,125.66554054054055,177.0,230.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2018,Descending,64.81756756756756,169.0,224.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2019,Ascending,57.397306397306394,200.0,235.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2019,Descending,84.89189189189189,152.0,226.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2020,Ascending,95.003367003367,150.0,241.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2020,Descending,85.27702702702703,146.0,235.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2021,Ascending,83.46801346801347,160.0,237.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2021,Descending,71.79729729729729,164.0,219.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2022,Descending,37.13851351351351,171.0,191.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2023,Descending,85.72297297297297,166.0,245.0,-1.2
RGI2000-v7.0-G-01-00298,Brooks,2.996105051267369,2024,Descending,71.3445945945946,159.0,228.0,-1.2
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2017,Ascending,101.2258064516129,130.0,236.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2017,Descending,160.39349112426035,61.0,223.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2018,Descending,82.90532544378698,160.0,236.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2019,Ascending,70.42521994134898,175.0,231.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2019,Descending,76.02958579881657,175.0,249.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2020,Ascending,96.68621700879766,151.0,241.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2020,Descending,105.66272189349112,140.0,244.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2021,Ascending,88.58064516129032,157.0,248.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2021,Descending,58.89940828402367,177.0,230.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2022,Descending,87.67159763313609,155.0,251.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2023,Descending,102.18934911242604,145.0,259.0,2.6
RGI2000-v7.0-G-01-00315,Brooks,3.395690064336225,2024,Descending,62.34615384615385,158.0,225.0,2.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2017,Descending,108.57765667574931,61.0,233.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2018,Descending,80.44141689373298,155.0,237.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2019,Descending,64.43596730245231,174.0,249.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2020,Descending,105.94550408719346,140.0,250.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2021,Descending,56.28065395095368,169.0,232.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2022,Descending,85.35422343324251,155.0,253.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2023,Descending,97.28882833787466,146.0,249.0,3.6
RGI2000-v7.0-G-01-00323,Brooks,3.743675877822517,2024,Descending,71.40326975476839,152.0,233.0,3.6
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2017,Ascending,78.1175,164.0,235.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2017,Descending,167.53417721518989,61.0,232.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2018,Descending,78.76962025316456,164.0,228.0,3.0
RGI2000-v7.0-G-01-00329,Brooks,4.040843402287356,2019,Ascending,67.905,185.0,229.0,3.0
