date,Aleutians_Ascending_frac_sl,Aleutians_Ascending_frac_sl_area,Aleutians_Descending_frac_sl,Aleutians_Descending_frac_sl_area,Brooks_Ascending_frac_sl,Brooks_Ascending_frac_sl_area,Brooks_Descending_frac_sl,Brooks_Descending_frac_sl_area,Coast_Ascending_frac_sl,Coast_Ascending_frac_sl_area,Coast_Descending_frac_sl,Coast_Descending_frac_sl_area,Cordova-Valdez_Ascending_frac_sl,Cordova-Valdez_Ascending_frac_sl_area,Cordova-Valdez_Descending_frac_sl,Cordova-Valdez_Descending_frac_sl_area,Eastern Alaska_Ascending_frac_sl,Eastern Alaska_Ascending_frac_sl_area,Eastern Alaska_Descending_frac_sl,Eastern Alaska_Descending_frac_sl_area,Kenai_Ascending_frac_sl,Kenai_Ascending_frac_sl_area,Kenai_Descending_frac_sl,Kenai_Descending_frac_sl_area,Lake Clark_Ascending_frac_sl,Lake Clark_Ascending_frac_sl_area,Lake Clark_Descending_frac_sl,Lake Clark_Descending_frac_sl_area,St. Elias_Ascending_frac_sl,St. Elias_Ascending_frac_sl_area,St. Elias_Descending_frac_sl,St. Elias_Descending_frac_sl_area,Western Alaska_Ascending_frac_sl,Western Alaska_Ascending_frac_sl_area,Western Alaska_Descending_frac_sl,Western Alaska_Descending_frac_sl_area,Western Chugach_Ascending_frac_sl,Western Chugach_Ascending_frac_sl_area,Western Chugach_Descending_frac_sl,Western Chugach_Descending_frac_sl_area,Wrangell_Ascending_frac_sl,Wrangell_Ascending_frac_sl_area,Wrangell_Descending_frac_sl,Wrangell_Descending_frac_sl_area,Talkeetna_Ascending_frac_sl,Talkeetna_Ascending_frac_sl_area,Talkeetna_Descending_frac_sl,Talkeetna_Descending_frac_sl_area,Alaska_Ascending_frac_sl,Alaska_Ascending_frac_sl_area,Alaska_Descending_frac_sl,Alaska_Descending_frac_sl_area
2017-01-27,1.870242570461389e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,5.74569001427804e-06,1.0,,,0.0003107515406490774,1.0,,,0.0001856033411760618,1.0,,,0.008215236042738078,0.158052687373849,,,2.892848877574636e-05,1.0,,,1.485517136368616e-05,1.0,,,1.803861616756071e-05,0.3475024094403046,,,0.0,1.0,,,0.001195469507269504,0.3840336569549687,,
2017-01-28,1.402681927846042e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,5.027478762493285e-06,1.0,,,0.0002764377849198368,1.0,,,0.0001913294017017062,1.0,,,0.008727706551140238,0.158052687373849,,,2.645596836756291e-05,1.0,,,1.299827494322539e-05,1.0,,,1.662934927947002e-05,0.3475024094403046,,,0.0,1.0,,,0.001260382119263696,0.3840336569549687,,
2017-01-29,9.351212852306948e-07,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,4.309267510708531e-06,1.0,,,0.0002421240291905963,1.0,,,0.0001970554622273506,1.0,,,0.009240177059542398,0.158052687373849,,,2.398344795937946e-05,1.0,,,1.114137852276462e-05,1.0,,,1.522008239137934e-05,0.3475024094403046,,,0.0,1.0,,,0.001325294731257888,0.3840336569549687,,
2017-01-30,4.675606426153477e-07,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,3.591056258923775e-06,1.0,,,0.0002078102734613557,1.0,,,0.0002027815227529951,1.0,,,0.009752647567944557,0.158052687373849,,,2.151092755119601e-05,1.0,,,9.284482102303851e-06,1.0,,,1.381081550328867e-05,0.3475024094403046,,,0.0,1.0,,,0.00139020734325208,0.3840336569549687,,
2017-01-31,0.0,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,2.87284500713902e-06,1.0,,,0.0001734965177321152,1.0,,,0.0002085075832786396,1.0,,,0.01026511807634672,0.158052687373849,,,1.903840714301256e-05,1.0,,,7.427585681843081e-06,1.0,,,1.240154861519799e-05,0.3475024094403046,,,0.0,1.0,,,0.001455119955246272,0.3840336569549687,,
2017-02-01,1.519572088499879e-05,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,2.154633755354266e-06,1.0,,,0.0001391827620028746,1.0,,,0.0002020410838919204,1.0,,,0.01077758858474888,0.158052687373849,,,1.668951275523829e-05,1.0,,,5.570689261382311e-06,1.0,,,1.099228172710731e-05,0.3475024094403046,,,0.0,1.0,,,0.001518437662768862,0.3840336569549687,,
2017-02-02,3.039144176999757e-05,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.436422503569511e-06,1.0,,,0.0001048690062736341,1.0,,,0.0001955745845052012,1.0,,,0.01129005909315104,0.158052687373849,,,1.4340618367464e-05,1.0,,,3.713792840921541e-06,1.0,,,9.583014839016625e-06,0.3475024094403046,,,0.0,1.0,,,0.001581755370291452,0.3840336569549687,,
2017-02-03,4.558716265499635e-05,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,7.182112517847557e-07,1.0,,,0.0001006279802846268,1.0,,,0.0001891080851184821,1.0,,,0.0118025296015532,0.158052687373849,,,1.372248826541814e-05,1.0,,,1.856896420460771e-06,1.0,,,8.173747950925946e-06,0.3475024094403046,,,0.0,1.0,,,0.001649467925691345,0.3840336569549687,,
2017-02-04,6.078288353999514e-05,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,0.0,1.0,,,9.638695429561956e-05,1.0,,,0.0001826415857317629,1.0,,,0.01231500010995536,0.158052687373849,,,1.310435816337228e-05,1.0,,,0.0,1.0,,,6.764481062835265e-06,0.3475024094403046,,,0.0,1.0,,,0.001717180481091238,0.3840336569549687,,
2017-02-05,0.0002162467972095981,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,2.693292194192831e-07,1.0,,,9.21459283066123e-05,1.0,,,0.0001761750863450437,1.0,,,0.01180194055499182,0.158052687373849,,,1.248622806132642e-05,1.0,,,5.802801313939907e-08,1.0,,,6.482627685217129e-06,0.3475024094403046,,,0.0,1.0,,,0.001651833700657554,0.3840336569549687,,
